Voltage(V),Current(A),Throttle(%),Temperature(C),Motor RPM
40.60,9.42,24.80,28.46,7455.14
40.25,24.40,50.40,29.07,16191.97
40.25,37.24,51.60,29.07,15673.00
39.90,39.38,51.60,29.07,15277.35
39.55,39.38,48.40,29.07,14491.39
39.55,39.38,49.60,29.07,14619.63
39.20,43.66,46.40,28.46,13773.03
39.20,39.38,45.60,28.46,13668.31
39.20,32.96,43.20,28.46,13139.44
39.20,32.96,41.20,28.46,12800.98
39.20,30.82,40.00,27.86,12574.51
39.55,28.68,39.20,27.86,12454.09
39.55,28.68,40.00,27.86,12665.71
39.20,28.68,41.60,27.25,12974.89
39.20,30.82,42.40,27.25,13276.43
39.20,32.96,45.60,26.64,13854.19
39.20,35.10,47.20,26.64,13895.13
39.20,37.24,47.20,26.64,13559.16
39.20,37.24,42.40,26.64,13199.03
39.20,35.10,39.20,26.64,12205.41
39.20,26.54,36.00,26.64,11629.51
39.20,26.54,35.20,26.64,11478.82
39.55,15.84,12.40,26.03,6541.60
39.55,7.28,12.40,26.03,6089.94
39.90,7.28,12.40,26.03,6936.53
39.90,7.28,12.40,26.03,6909.09
40.25,9.42,12.40,26.03,4880.99
40.25,7.28,13.60,26.64,4418.76
40.25,7.28,16.40,27.86,5227.46
40.25,7.28,16.00,28.46,5190.62
40.25,5.14,16.40,29.07,5766.48
40.60,7.28,16.40,29.07,7162.49
40.60,9.42,16.40,29.07,6463.43
40.60,9.42,16.40,29.07,6651.94
40.60,9.42,16.40,29.07,6540.90
40.60,9.42,17.20,29.07,5926.96
40.25,9.42,24.80,29.07,7979.73
40.25,13.70,26.40,29.07,9699.25
40.25,17.98,26.40,29.07,10606.40
40.25,15.84,26.40,29.68,10536.92
39.90,15.84,26.40,29.07,10316.40
39.90,15.84,26.40,29.07,10292.08
39.90,13.70,26.40,29.07,10133.40
39.90,15.84,26.40,29.07,10106.60
39.90,15.84,26.40,28.46,10048.45
39.90,15.84,26.40,28.46,9948.68
39.90,15.84,26.40,28.46,9947.06
39.90,15.84,26.40,28.46,9948.68
40.25,15.84,26.40,27.86,9940.59
40.25,15.84,26.40,27.86,9961.65
40.25,15.84,26.40,27.86,9945.44
40.25,17.98,26.40,27.86,9950.30
40.25,17.98,26.40,27.86,9955.16
40.25,17.98,26.40,27.25,9953.54
40.25,17.98,26.40,27.25,9948.68
40.25,17.98,26.40,27.25,9951.92
40.25,17.98,26.40,27.25,9955.16
40.25,17.98,26.40,27.25,9960.03
40.25,17.98,26.40,26.64,9977.91
40.25,17.98,26.40,26.64,9916.40
40.25,17.98,26.40,26.64,9950.30
40.25,17.98,26.40,26.64,9938.97
40.25,15.84,26.40,26.64,9955.16
40.25,15.84,26.40,26.64,9961.65
40.25,15.84,26.40,26.03,9950.30
40.25,17.98,26.40,26.03,9960.03
39.90,15.84,26.00,26.03,9722.39
39.90,15.84,26.40,26.03,10155.29
39.90,17.98,26.40,26.64,11029.36
39.90,15.84,20.40,26.64,9762.77
39.90,9.42,12.40,26.64,6966.57
39.90,5.14,12.40,26.64,6857.93
39.90,5.14,12.40,26.03,6086.30
40.25,7.28,12.40,26.03,4319.46
40.25,7.28,12.40,26.03,4311.84
40.25,5.14,12.80,26.03,4404.75
40.25,7.28,16.40,26.03,5310.11
40.25,11.56,16.40,25.42,5566.91
40.25,9.42,16.40,25.42,5833.62
40.25,11.56,16.80,25.42,5918.35
40.25,9.42,16.40,26.03,6799.94
40.25,7.28,16.80,26.03,6789.37
40.25,9.42,16.40,26.03,7237.12
40.25,11.56,19.60,26.64,8070.33
40.25,11.56,19.20,26.64,8778.50
39.90,9.42,21.20,26.64,9645.68
39.90,11.56,21.60,26.03,9866.78
39.90,11.56,21.60,26.03,9835.03
39.90,11.56,21.60,26.64,10162.04
39.90,13.70,22.40,26.64,7749.07
39.90,11.56,22.40,26.64,8683.72
39.90,11.56,21.60,26.64,8302.73
39.90,11.56,21.60,26.03,8370.95
39.90,11.56,22.40,26.03,8198.05
39.90,13.70,21.60,26.03,7967.24
39.90,11.56,22.40,26.03,7910.53
39.90,9.42,20.40,26.64,8728.36
39.90,11.56,20.40,26.64,8935.05
39.90,13.70,20.40,27.25,9134.00
39.90,11.56,21.60,27.25,9805.05
39.90,11.56,21.60,27.25,9759.65
39.90,11.56,23.60,26.64,10093.25
39.90,11.56,23.60,26.64,8727.11
39.90,11.56,23.60,26.64,9389.35
39.90,13.70,22.80,27.25,9849.29
39.90,13.70,23.60,27.25,9537.32
39.90,13.70,23.60,27.25,8844.55
39.90,13.70,23.60,27.25,9607.78
39.90,13.70,23.60,27.25,10060.02
39.90,15.84,23.60,27.25,10295.55
39.90,15.84,23.60,27.25,10299.02
39.90,13.70,23.60,27.25,9150.40
39.90,11.56,23.60,27.25,10093.25
39.90,13.70,24.40,27.25,10641.49
39.90,13.70,24.40,27.25,10375.95
39.90,13.70,24.40,27.25,9854.05
39.90,13.70,21.60,27.25,9234.73
39.90,13.70,22.40,27.25,9501.74
39.90,11.56,21.60,27.25,9124.45
39.90,11.56,22.40,27.25,9937.36
39.90,11.56,23.60,27.25,10274.78
39.90,11.56,24.40,27.25,10439.74
39.90,13.70,25.60,27.25,9112.21
39.90,15.84,24.40,27.25,10522.41
39.90,15.84,25.60,26.64,10971.94
39.90,13.70,25.60,26.64,10938.56
39.90,13.70,25.60,26.64,9385.03
39.90,15.84,25.60,26.64,9846.12
